ID,Severity,Start_Lat,Start_Lng,State,cluster
A-382,2,39.800358,-82.708252,OH,2
A-416,2,39.778011,-84.20049300000002,OH,2
A-790,3,37.854485,-122.219765,CA,6
A-1002,3,37.359573,-121.84113300000001,CA,6
A-1374,2,38.455452,-122.73791499999999,CA,6
A-1451,2,38.621574,-121.401459,CA,6
A-1557,2,38.44574,-122.72403700000001,CA,6
A-1689,2,38.474407,-121.419067,CA,6
A-1796,3,37.74287,-121.561752,CA,6
A-2014,3,37.739334,-121.59082,CA,6
A-2508,3,37.90094000000001,-122.310699,CA,6
A-2531,3,37.763535,-121.418747,CA,6
A-2553,3,38.719727,-121.29579199999999,CA,6
A-2865,3,37.733841,-122.410698,CA,6
A-3011,2,38.0191,-121.942085,CA,6
A-3153,3,38.642693,-121.42908500000001,CA,6
A-4468,2,38.58897,-121.42004399999999,CA,6
A-4691,2,38.272301,-122.491234,CA,6
A-4944,2,38.485943,-122.961952,CA,6
A-4988,2,38.610619,-121.395599,CA,6
A-5248,3,37.608707,-122.068192,CA,6
A-5278,3,37.806862,-121.990784,CA,6
A-5456,2,38.581276,-121.38297299999999,CA,6
A-5536,2,38.547066,-121.37233,CA,6
A-5755,2,37.711135999999996,-121.01306899999999,CA,6
A-5995,2,38.581482,-121.401505,CA,6
A-6250,2,38.021255,-121.258316,CA,6
A-6471,3,37.784817,-121.30677800000001,CA,6
A-6486,3,38.707462,-121.309219,CA,6
A-6621,3,37.909599,-121.28819299999999,CA,6
A-6639,3,37.811298,-121.992989,CA,6
A-6666,2,38.487476,-121.425003,CA,6
A-6695,3,37.32188,-121.8993,CA,6
A-6924,2,37.995705,-122.32728600000002,CA,6
A-7178,2,39.139843,-121.06920600000001,CA,6
A-7334,3,37.926777,-121.29467,CA,6
A-7550,2,37.783546,-121.209778,CA,6
A-8043,2,37.809204,-122.19566299999998,CA,6
A-8308,2,37.553333,-122.296196,CA,6
A-8473,2,37.056324,-121.583405,CA,6
A-8581,3,37.596030999999996,-122.41941100000001,CA,6
A-8757,3,37.993297999999996,-122.301949,CA,6
A-9216,3,37.318039,-121.940125,CA,6
A-9349,3,37.832893,-122.293678,CA,6
A-9546,3,36.781433,-120.72679099999999,CA,6
A-9947,2,37.141476000000004,-122.091385,CA,6
A-10197,3,38.540015999999994,-121.735703,CA,6
A-10495,2,38.50196500000001,-123.00223500000001,CA,6
A-10634,2,37.373634,-121.927773,CA,6
A-10809,2,38.010246,-122.02046999999999,CA,6
A-10955,2,38.160545,-122.57193799999999,CA,6
A-10975,2,38.715365999999996,-121.606628,CA,6
A-11033,3,37.76321,-122.216408,CA,6
A-11057,2,38.43874,-121.402069,CA,6
A-11155,2,37.701878,-121.901474,CA,6
A-12092,2,37.254307,-121.88024899999999,CA,6
A-12278,2,37.38387700000001,-121.97006200000001,CA,6
A-12363,2,38.56045200000001,-121.465584,CA,6
A-12513,3,37.333649,-121.937294,CA,6
A-13003,3,37.764133,-121.41473400000001,CA,6
A-13178,3,37.506248,-121.966209,CA,6
A-13317,2,38.026756,-121.93571499999999,CA,6
A-13700,2,38.651775,-121.38294199999999,CA,6
A-13965,3,37.7882,-122.198982,CA,6
A-14299,2,38.678753,-120.743095,CA,6
A-14447,3,37.756187,-121.96278400000001,CA,6
A-14669,2,38.449287,-122.72598300000001,CA,6
A-14997,2,37.358067,-121.57144199999999,CA,6
A-15078,2,37.944721,-122.514725,CA,6
A-15189,3,38.02549000000001,-122.111603,CA,6
A-15326,3,37.698586,-122.47164199999999,CA,6
A-15545,2,36.570183,-121.759056,CA,6
A-15594,3,37.808498,-122.36685200000001,CA,6
A-16078,2,37.785109999999996,-122.215271,CA,6
A-16142,2,37.838778999999995,-120.62523700000001,CA,6
A-16221,2,36.962925,-122.024216,CA,6
